Time,Open,High,Low,Close,Volume
17.09.2013 19:00:00.000,1.33565,1.35418,1.33380,1.35236,235869.0156
18.09.2013 19:00:00.000,1.35236,1.35685,1.35093,1.35334,235543.0469
19.09.2013 19:00:00.000,1.35334,1.35487,1.34977,1.35206,175391.8594
20.09.2013 19:00:00.000,1.35206,1.35206,1.35206,1.35206,0.0000
21.09.2013 19:00:00.000,1.35460,1.35476,1.35241,1.35334,3700.9199
22.09.2013 19:00:00.000,1.35334,1.35446,1.34790,1.34966,161072.2344
23.09.2013 19:00:00.000,1.34968,1.35188,1.34640,1.34731,171863.6563
24.09.2013 19:00:00.000,1.34730,1.35370,1.34613,1.35173,161942.3125
25.09.2013 19:00:00.000,1.35172,1.35262,1.34720,1.34874,164521.9063
26.09.2013 19:00:00.000,1.34874,1.35644,1.34740,1.35217,168832.1250
27.09.2013 19:00:00.000,1.35217,1.35217,1.35217,1.35217,0.0000
28.09.2013 19:00:00.000,1.34923,1.34981,1.34767,1.34944,6822.6201
29.09.2013 19:00:00.000,1.34945,1.35560,1.34778,1.35236,155281.8281
30.09.2013 19:00:00.000,1.35237,1.35880,1.35158,1.35226,185667.0156
01.10.2013 19:00:00.000,1.35226,1.36066,1.35043,1.35898,214484.6094
02.10.2013 19:00:00.000,1.35898,1.36459,1.35804,1.36228,184173.4844
03.10.2013 19:00:00.000,1.36228,1.36316,1.35380,1.35569,151072.7031
04.10.2013 19:00:00.000,1.35569,1.35569,1.35569,1.35569,0.0000
05.10.2013 19:00:00.000,1.35629,1.35713,1.35605,1.35685,4220.8198
06.10.2013 19:00:00.000,1.35685,1.35909,1.35425,1.35808,144185.3438
07.10.2013 19:00:00.000,1.35808,1.36071,1.35576,1.35990,186689.6406
08.10.2013 19:00:00.000,1.35990,1.36005,1.34855,1.35186,224810.7188
09.10.2013 19:00:00.000,1.35183,1.35457,1.34877,1.35264,202316.6250
10.10.2013 19:00:00.000,1.35264,1.35816,1.35197,1.35406,183518.8281
11.10.2013 19:00:00.000,1.35406,1.35406,1.35406,1.35406,0.0000
12.10.2013 19:00:00.000,1.35595,1.35629,1.35510,1.35551,3639.5300
13.10.2013 19:00:00.000,1.35551,1.35975,1.35450,1.35562,744642.5625
14.10.2013 19:00:00.000,1.35566,1.35709,1.34790,1.35199,641138.7500
15.10.2013 19:00:00.000,1.35206,1.35675,1.34727,1.35216,222108.6719
16.10.2013 19:00:00.000,1.35216,1.36818,1.35158,1.36682,263898.1250
17.10.2013 19:00:00.000,1.36683,1.37037,1.36592,1.36844,184794.9688
18.10.2013 19:00:00.000,1.36844,1.36844,1.36844,1.36844,0.0000
19.10.2013 19:00:00.000,1.36840,1.36884,1.36810,1.36811,2896.6399
20.10.2013 19:00:00.000,1.36811,1.36884,1.36509,1.36721,154643.2031
21.10.2013 19:00:00.000,1.36721,1.37919,1.36623,1.37781,182895.7031
22.10.2013 19:00:00.000,1.37780,1.37928,1.37410,1.37785,215768.0781
23.10.2013 19:00:00.000,1.37785,1.38252,1.37640,1.38017,218692.7344
24.10.2013 19:00:00.000,1.38016,1.38321,1.37740,1.37985,205911.8281
25.10.2013 19:00:00.000,1.37985,1.37985,1.37985,1.37985,0.0000
26.10.2013 19:00:00.000,1.38059,1.38105,1.38001,1.38045,3743.5200
27.10.2013 19:00:00.000,1.38045,1.38174,1.37750,1.37880,186813.1563
28.10.2013 19:00:00.000,1.37880,1.38130,1.37362,1.37426,232384.5938
29.10.2013 19:00:00.000,1.37427,1.37847,1.36960,1.37235,250055.4219
30.10.2013 19:00:00.000,1.37234,1.37386,1.35750,1.35790,271084.4688
31.10.2013 19:00:00.000,1.35787,1.35815,1.34795,1.34848,225790.1094
01.11.2013 19:00:00.000,1.34848,1.34848,1.34848,1.34848,0.0000
02.11.2013 19:00:00.000,1.34866,1.34967,1.34839,1.34921,3347.6499
03.11.2013 18:00:00.000,1.34919,1.35243,1.34420,1.35153,167915.8906
04.11.2013 18:00:00.000,1.35152,1.35224,1.34490,1.34719,218967.0469
05.11.2013 18:00:00.000,1.34719,1.35471,1.34675,1.35175,187872.7813
06.11.2013 18:00:00.000,1.35173,1.35287,1.32950,1.34087,286899.2813
07.11.2013 18:00:00.000,1.34087,1.34377,1.33178,1.33648,224716.4531
08.11.2013 18:00:00.000,1.33648,1.33648,1.33648,1.33648,0.0000
09.11.2013 18:00:00.000,1.33572,1.33620,1.33446,1.33464,4146.3799
10.11.2013 18:00:00.000,1.33465,1.34162,1.33465,1.34075,150607.0938
11.11.2013 18:00:00.000,1.34076,1.34561,1.33590,1.34375,234487.2031
12.11.2013 18:00:00.000,1.34375,1.34972,1.33898,1.34841,232260.7500
13.11.2013 18:00:00.000,1.34842,1.34941,1.34179,1.34459,236984.5313
14.11.2013 18:00:00.000,1.34458,1.35052,1.34322,1.34939,170372.7031
15.11.2013 18:00:00.000,1.34939,1.34939,1.34939,1.34939,0.0000
16.11.2013 18:00:00.000,1.34960,1.34986,1.34801,1.34821,2289.0801
17.11.2013 18:00:00.000,1.34821,1.35415,1.34745,1.35017,184377.2031
18.11.2013 18:00:00.000,1.35014,1.35774,1.34872,1.35640,219450.0625
19.11.2013 18:00:00.000,1.35640,1.35641,1.34147,1.34302,240255.9531
20.11.2013 18:00:00.000,1.34302,1.34864,1.33992,1.34710,245663.1250
21.11.2013 18:00:00.000,1.34710,1.35569,1.34623,1.35562,183386.5938
22.11.2013 18:00:00.000,1.35562,1.35562,1.35562,1.35562,0.0000
23.11.2013 18:00:00.000,1.35481,1.35599,1.35476,1.35512,3205.6399
24.11.2013 18:00:00.000,1.35513,1.35563,1.34900,1.35334,187985.5625
25.11.2013 18:00:00.000,1.35333,1.35747,1.35205,1.35667,200301.0469
26.11.2013 18:00:00.000,1.35669,1.36128,1.35577,1.35731,210512.2344
27.11.2013 18:00:00.000,1.35733,1.36180,1.35636,1.36028,153936.4063
28.11.2013 18:00:00.000,1.36026,1.36216,1.35800,1.35890,186069.1250
29.11.2013 18:00:00.000,1.35890,1.35890,1.35890,1.35890,0.0000
30.11.2013 18:00:00.000,1.35848,1.35921,1.35814,1.35848,2832.8101
01.12.2013 18:00:00.000,1.35848,1.36157,1.35255,1.35418,223348.2656
02.12.2013 18:00:00.000,1.35420,1.36137,1.35240,1.35917,234441.8750
03.12.2013 18:00:00.000,1.35917,1.36051,1.35283,1.35851,251521.1094
04.12.2013 18:00:00.000,1.35852,1.36772,1.35431,1.36687,288682.0000
05.12.2013 18:00:00.000,1.36688,1.37063,1.36124,1.37037,235563.3438
06.12.2013 18:00:00.000,1.37037,1.37037,1.37037,1.37037,0.0000
07.12.2013 18:00:00.000,1.37143,1.37211,1.37043,1.37065,4115.4399
