Date, Open, High, Low, Close, Volume
10-Jun-13,152.79,152.88,151.98,152.21,4918497
7-Jun-13,151.16,152.44,150.70,152.32,8088461
6-Jun-13,149.38,150.27,148.31,150.25,15158447
5-Jun-13,151.22,151.43,149.29,149.31,9430759
4-Jun-13,152.26,152.91,150.82,151.64,7956672
3-Jun-13,151.54,152.36,151.10,152.31,10862992
31-May-13,152.61,153.73,150.90,151.10,7430025
30-May-13,152.86,153.80,152.60,153.10,8234245
29-May-13,153.02,153.25,152.02,152.84,7906402
28-May-13,154.21,154.98,153.48,153.88,9382211
24-May-13,152.16,152.82,151.73,152.77,4535593
23-May-13,151.67,153.24,151.55,152.77,10477550
22-May-13,153.71,155.14,152.35,152.84,12702999
21-May-13,153.28,154.02,152.89,153.51,5735290
20-May-13,153.04,153.56,152.82,153.04,4464792
17-May-13,152.42,153.24,152.21,153.14,5503197
16-May-13,152.64,153.11,152.24,152.45,8195236
15-May-13,151.88,153.11,151.86,152.78,5770886
14-May-13,150.88,152.17,150.86,152.13,5554715
13-May-13,150.75,151.01,150.48,150.86,3841438
10-May-13,150.91,151.10,150.29,151.04,4138160
9-May-13,150.90,151.37,150.39,150.84,3949581
8-May-13,150.13,150.96,150.10,150.94,4087947
7-May-13,149.77,150.28,149.44,150.26,5364417
6-May-13,149.36,149.60,149.14,149.43,3110780
3-May-13,149.26,149.82,149.20,149.36,5933481
2-May-13,147.12,148.05,146.91,147.96,4343510
1-May-13,147.56,147.81,146.58,146.74,5374065
30-Apr-13,147.87,148.11,147.05,148.02,8067613
29-Apr-13,147.20,148.15,146.91,147.86,6133287
26-Apr-13,146.55,147.15,146.52,146.88,3242580
25-Apr-13,146.64,147.42,146.36,146.76,4160812
24-Apr-13,147.02,147.21,146.39,146.45,4968388
23-Apr-13,146.13,146.90,145.15,146.80,10436186
22-Apr-13,145.38,145.57,144.24,145.32,11711968
19-Apr-13,144.71,145.21,144.36,145.14,6029959
18-Apr-13,146.10,146.12,144.77,145.18,8277018
17-Apr-13,146.55,146.60,145.37,145.95,10757043
16-Apr-13,146.98,147.39,146.37,147.36,6975301
15-Apr-13,147.90,147.93,145.72,145.81,14181170
12-Apr-13,147.99,148.46,147.68,148.42,8711328
11-Apr-13,147.82,148.66,147.63,148.40,6975523
10-Apr-13,146.98,148.06,146.96,147.78,7947555
9-Apr-13,146.08,146.96,145.75,146.51,5492255
8-Apr-13,145.02,145.95,144.76,145.95,3864981
5-Apr-13,144.18,145.51,144.05,145.31,7307414
4-Apr-13,145.36,145.98,145.09,145.77,7520482
3-Apr-13,146.24,146.47,144.95,145.14,7661523
2-Apr-13,145.87,146.50,145.78,146.27,5673122
1-Apr-13,145.30,145.73,144.97,145.35,8623870
28-Mar-13,145.01,145.53,144.84,145.32,4346068
27-Mar-13,144.35,145.08,144.06,144.96,4129138
26-Mar-13,144.67,145.29,144.63,145.28,4879025
25-Mar-13,145.09,145.32,143.60,144.21,9603116
22-Mar-13,144.31,144.94,144.28,144.90,5028567
21-Mar-13,144.12,144.59,143.49,143.89,6076519
20-Mar-13,144.86,145.15,144.59,144.81,5924809
19-Mar-13,144.51,144.83,143.48,144.30,9301670
18-Mar-13,143.85,144.88,143.70,144.17,5511255
15-Mar-13,144.82,144.89,144.39,144.82,10836714
14-Mar-13,144.81,145.35,144.76,145.33,5366152
13-Mar-13,144.44,144.71,144.09,144.46,4322037
12-Mar-13,144.29,144.70,144.03,144.40,5167311
11-Mar-13,143.73,144.36,143.61,144.36,4373292
8-Mar-13,143.95,144.02,143.21,143.76,5681064
7-Mar-13,142.98,143.39,142.90,143.14,3689370
6-Mar-13,142.91,143.07,142.49,142.84,4485025
5-Mar-13,141.69,142.68,141.69,142.34,7963431
4-Mar-13,140.36,141.10,140.10,141.07,3620655
1-Mar-13,139.89,140.90,139.17,140.74,6506847
28-Feb-13,140.45,141.31,140.18,140.28,11400070
27-Feb-13,138.74,140.87,138.64,140.60,7406248
26-Feb-13,138.35,138.96,137.98,138.78,9236059
25-Feb-13,140.33,140.59,137.60,137.66,10034930
22-Feb-13,139.24,139.83,138.86,139.81,4158936
21-Feb-13,138.65,138.88,138.06,138.51,7522263
20-Feb-13,140.00,140.28,138.88,138.88,5976243
19-Feb-13,139.56,140.16,139.52,139.97,3945901
15-Feb-13,139.51,139.71,138.75,139.45,6114373
14-Feb-13,139.38,139.96,139.26,139.86,3048777
13-Feb-13,140.23,140.36,139.50,139.87,3387704
12-Feb-13,139.59,140.21,139.51,140.05,3498954
11-Feb-13,139.62,139.68,139.21,139.52,2543470
8-Feb-13,139.37,140.03,139.37,139.73,3573803
7-Feb-13,139.59,139.64,138.32,139.29,6637911
6-Feb-13,138.88,139.70,138.88,139.58,3118099
5-Feb-13,139.24,139.85,139.21,139.39,5820224
4-Feb-13,138.81,138.98,138.36,138.57,6536165
1-Feb-13,139.29,139.89,139.04,139.74,5237382
31-Jan-13,138.76,140.22,138.32,138.41,3935235
30-Jan-13,139.23,139.37,138.67,138.76,5498888
29-Jan-13,138.44,139.38,138.44,139.23,3947869
28-Jan-13,138.85,138.88,138.30,138.65,3170223
25-Jan-13,138.39,138.63,138.04,138.62,4464027
24-Jan-13,137.59,138.49,137.57,138.02,6288916
23-Jan-13,137.19,137.63,137.14,137.46,6403008
22-Jan-13,136.13,136.77,135.92,136.74,4548605
18-Jan-13,135.81,136.16,135.42,136.09,4922772
