Getting Data...
finding optimal breakout day len and atr open...
netR: -31.853611594979693, days: 5, open_atr: 4.2
netR: -32.86171272433127, days: 5, open_atr: 4.3
netR: -34.35929638830113, days: 5, open_atr: 4.4
netR: 54.98844120340616, days: 6, open_atr: 0.5
netR: 39.090108968028815, days: 6, open_atr: 0.6
netR: 25.62297783355751, days: 6, open_atr: 0.7
netR: 17.247080908744408, days: 6, open_atr: 0.8
netR: 9.96399240719714, days: 6, open_atr: 0.9
netR: 4.449142789004611, days: 6, open_atr: 1.0
netR: 0.3906331456839699, days: 6, open_atr: 1.1
netR: -2.596331393311002, days: 6, open_atr: 1.2
netR: -6.075208004618143, days: 6, open_atr: 1.3
netR: -10.455146161613115, days: 6, open_atr: 1.4
netR: -13.532425960650066, days: 6, open_atr: 1.5
netR: -16.31639940443732, days: 6, open_atr: 1.6
netR: -20.471266623469024, days: 6, open_atr: 1.7
netR: -19.822442348260076, days: 6, open_atr: 1.8
netR: -16.558228427454818, days: 6, open_atr: 1.9
netR: -13.701267109866222, days: 6, open_atr: 2.0
netR: -11.25788560725384, days: 6, open_atr: 2.1
netR: -9.346879392984562, days: 6, open_atr: 2.2
netR: -10.579437891661385, days: 6, open_atr: 2.3
netR: -13.353716879068722, days: 6, open_atr: 2.4
netR: -17.05617538117796, days: 6, open_atr: 2.5
netR: -19.495254861895944, days: 6, open_atr: 2.6
netR: -21.571457025917212, days: 6, open_atr: 2.7
netR: -23.474329615482027, days: 6, open_atr: 2.8
netR: -24.643149683227538, days: 6, open_atr: 2.9
netR: -25.218146950418877, days: 6, open_atr: 3.0
netR: -26.770788468424563, days: 6, open_atr: 3.1
netR: -30.268404709003427, days: 6, open_atr: 3.2
netR: -31.79050365457736, days: 6, open_atr: 3.3
netR: -32.94330896128498, days: 6, open_atr: 3.4
netR: -30.900695846584807, days: 6, open_atr: 3.5
netR: -29.4395334062159, days: 6, open_atr: 3.6
netR: -28.16241383256282, days: 6, open_atr: 3.7
netR: -26.393902362141713, days: 6, open_atr: 3.8
netR: -26.208300335988273, days: 6, open_atr: 3.9
netR: -27.99216005962701, days: 6, open_atr: 4.0
netR: -29.834454376658062, days: 6, open_atr: 4.1
netR: -31.715615153279938, days: 6, open_atr: 4.2
netR: -33.232255937395614, days: 6, open_atr: 4.3
netR: -34.36993492856265, days: 6, open_atr: 4.4
netR: 41.11901319098518, days: 7, open_atr: 0.5
netR: 27.966707526448964, days: 7, open_atr: 0.6
netR: 16.438812532535653, days: 7, open_atr: 0.7
netR: 9.514490360831232, days: 7, open_atr: 0.8
netR: 3.4527462337368027, days: 7, open_atr: 0.9
netR: -1.5694630565706293, days: 7, open_atr: 1.0
netR: -4.596186031009517, days: 7, open_atr: 1.1
netR: -6.6475726123620085, days: 7, open_atr: 1.2
netR: -9.918067596467907, days: 7, open_atr: 1.3
netR: -13.78757509857551, days: 7, open_atr: 1.4
netR: -16.058140977186074, days: 7, open_atr: 1.5
netR: -18.785682206950188, days: 7, open_atr: 1.6
netR: -22.20326924482014, days: 7, open_atr: 1.7
netR: -21.384382580055096, days: 7, open_atr: 1.8
netR: -19.527142921519737, days: 7, open_atr: 1.9
netR: -17.574693772627874, days: 7, open_atr: 2.0
netR: -14.958264809901857, days: 7, open_atr: 2.1
netR: -12.346391600223686, days: 7, open_atr: 2.2
netR: -13.376982950099297, days: 7, open_atr: 2.3
netR: -15.563901633279668, days: 7, open_atr: 2.4
netR: -18.59723869314729, days: 7, open_atr: 2.5
netR: -20.380777653026502, days: 7, open_atr: 2.6
netR: -22.800891386823135, days: 7, open_atr: 2.7
netR: -24.638521722047663, days: 7, open_atr: 2.8
netR: -25.36656377652132, days: 7, open_atr: 2.9
netR: -26.4329503268833, days: 7, open_atr: 3.0
netR: -27.405878150934093, days: 7, open_atr: 3.1
netR: -30.64375062730613, days: 7, open_atr: 3.2
netR: -31.83253111890087, days: 7, open_atr: 3.3
netR: -32.47120609897229, days: 7, open_atr: 3.4
netR: -30.18342352440717, days: 7, open_atr: 3.5
netR: -29.203478760545728, days: 7, open_atr: 3.6
netR: -28.517324498858965, days: 7, open_atr: 3.7
netR: -26.355642005554266, days: 7, open_atr: 3.8
netR: -27.12821108970134, days: 7, open_atr: 3.9
netR: -28.55362927379723, days: 7, open_atr: 4.0
netR: -30.015792170133057, days: 7, open_atr: 4.1
netR: -31.670172840064225, days: 7, open_atr: 4.2
netR: -32.78836230882994, days: 7, open_atr: 4.3
netR: -33.53365728849916, days: 7, open_atr: 4.4
netR: 35.470922954809815, days: 8, open_atr: 0.5
netR: 24.38680652502655, days: 8, open_atr: 0.6
netR: 14.320789986973278, days: 8, open_atr: 0.7
netR: 8.305380164244081, days: 8, open_atr: 0.8
netR: 2.7246159560102763, days: 8, open_atr: 0.9
netR: -1.6792154485029456, days: 8, open_atr: 1.0
netR: -4.259789243721619, days: 8, open_atr: 1.1
netR: -5.817582711055236, days: 8, open_atr: 1.2
netR: -8.585853914154566, days: 8, open_atr: 1.3
netR: -12.019660251245194, days: 8, open_atr: 1.4
netR: -14.342450216807364, days: 8, open_atr: 1.5
netR: -16.699422232479616, days: 8, open_atr: 1.6
netR: -19.711981607793064, days: 8, open_atr: 1.7
netR: -22.571065719927624, days: 8, open_atr: 1.8
netR: -20.524471235309782, days: 8, open_atr: 1.9
netR: -18.125664971976093, days: 8, open_atr: 2.0
netR: -15.10133771057218, days: 8, open_atr: 2.1
netR: -14.03711454316569, days: 8, open_atr: 2.2
netR: -14.649648568819455, days: 8, open_atr: 2.3
netR: -16.449644251731062, days: 8, open_atr: 2.4
netR: -19.126913513693424, days: 8, open_atr: 2.5
netR: -20.579512090612727, days: 8, open_atr: 2.6
netR: -23.710868281660296, days: 8, open_atr: 2.7
netR: -25.246598424034794, days: 8, open_atr: 2.8
netR: -25.65470258401735, days: 8, open_atr: 2.9
netR: -26.420650120752136, days: 8, open_atr: 3.0
netR: -27.11089424531219, days: 8, open_atr: 3.1
netR: -30.082297964903148, days: 8, open_atr: 3.2
netR: -30.988095178922077, days: 8, open_atr: 3.3
netR: -31.72858586764568, days: 8, open_atr: 3.4
netR: -29.187503472754084, days: 8, open_atr: 3.5
netR: -28.577267918389047, days: 8, open_atr: 3.6
netR: -27.6392232974221, days: 8, open_atr: 3.7
netR: -25.948559775119953, days: 8, open_atr: 3.8
netR: -26.47935921084795, days: 8, open_atr: 3.9
netR: -27.62070242419472, days: 8, open_atr: 4.0
netR: -28.80410479082499, days: 8, open_atr: 4.1
netR: -30.19201879708458, days: 8, open_atr: 4.2
netR: -31.055236793998, days: 8, open_atr: 4.3
netR: -32.54682864424889, days: 8, open_atr: 4.4
netR: 33.694028722135855, days: 9, open_atr: 0.5
netR: 22.148143897486083, days: 9, open_atr: 0.6
netR: 12.66854135505048, days: 9, open_atr: 0.7
netR: 7.1043204957288495, days: 9, open_atr: 0.8
netR: 1.949682915922177, days: 9, open_atr: 0.9
netR: -2.0538330544314265, days: 9, open_atr: 1.0
netR: -4.2970077777986075, days: 9, open_atr: 1.1
netR: -6.2286215760373125, days: 9, open_atr: 1.2
netR: -8.72122732506187, days: 9, open_atr: 1.3
netR: -11.856019096333595, days: 9, open_atr: 1.4
netR: -13.9127692437999, days: 9, open_atr: 1.5
netR: -15.963576534937637, days: 9, open_atr: 1.6
netR: -19.59576427095769, days: 9, open_atr: 1.7
netR: -22.181986373814546, days: 9, open_atr: 1.8
netR: -21.468698171585654, days: 9, open_atr: 1.9
netR: -18.75301996005112, days: 9, open_atr: 2.0
netR: -15.438205761295498, days: 9, open_atr: 2.1
netR: -14.106677792924222, days: 9, open_atr: 2.2
netR: -14.472389160735592, days: 9, open_atr: 2.3
netR: -16.043751562503303, days: 9, open_atr: 2.4
netR: -18.483567106181162, days: 9, open_atr: 2.5
netR: -19.73914470547736, days: 9, open_atr: 2.6
netR: -22.68651040245842, days: 9, open_atr: 2.7
netR: -24.050017360615087, days: 9, open_atr: 2.8
netR: -24.44710936964088, days: 9, open_atr: 2.9
netR: -24.975773443188828, days: 9, open_atr: 3.0
netR: -25.678548970630274, days: 9, open_atr: 3.1
netR: -28.472087523635317, days: 9, open_atr: 3.2
netR: -29.887711600871015, days: 9, open_atr: 3.3
netR: -30.480706843284178, days: 9, open_atr: 3.4
netR: -27.78306108709084, days: 9, open_atr: 3.5
netR: -27.00636949358967, days: 9, open_atr: 3.6
netR: -25.908738496656945, days: 9, open_atr: 3.7
netR: -24.040327358200226, days: 9, open_atr: 3.8
netR: -24.40175764406243, days: 9, open_atr: 3.9
netR: -25.57726415938162, days: 9, open_atr: 4.0
netR: -26.616049151101446, days: 9, open_atr: 4.1
netR: -27.865680478155586, days: 9, open_atr: 4.2
netR: -28.596541269990034, days: 9, open_atr: 4.3
netR: -29.961326813283726, days: 9, open_atr: 4.4
netR: 22.370449467212453, days: 10, open_atr: 0.5
netR: 12.026051262793489, days: 10, open_atr: 0.6
netR: 3.513797759717404, days: 10, open_atr: 0.7
netR: -1.2543177158535543, days: 10, open_atr: 0.8
netR: -5.741973619197231, days: 10, open_atr: 0.9
netR: -9.178340386015893, days: 10, open_atr: 1.0
netR: -10.933183839176177, days: 10, open_atr: 1.1
netR: -12.439807628897048, days: 10, open_atr: 1.2
netR: -14.48713309682241, days: 10, open_atr: 1.3
netR: -17.228617586764297, days: 10, open_atr: 1.4
netR: -18.935376207730386, days: 10, open_atr: 1.5
netR: -20.672681058070943, days: 10, open_atr: 1.6
netR: -24.022398132367336, days: 10, open_atr: 1.7
netR: -26.35276531269071, days: 10, open_atr: 1.8
netR: -25.40662531684196, days: 10, open_atr: 1.9
netR: -22.478113925339326, days: 10, open_atr: 2.0
netR: -18.967997511904503, days: 10, open_atr: 2.1
netR: -17.45660794290759, days: 10, open_atr: 2.2
netR: -18.739298269051506, days: 10, open_atr: 2.3
netR: -20.155330729943714, days: 10, open_atr: 2.4
netR: -22.430597880536563, days: 10, open_atr: 2.5
netR: -23.532834409649023, days: 10, open_atr: 2.6
netR: -26.336955360614002, days: 10, open_atr: 2.7
netR: -27.566345428566095, days: 10, open_atr: 2.8
netR: -28.065252420733067, days: 10, open_atr: 2.9
netR: -28.439029245693362, days: 10, open_atr: 3.0
netR: -29.006034755317913, days: 10, open_atr: 3.1
netR: -31.671578761291542, days: 10, open_atr: 3.2
netR: -33.04318758568655, days: 10, open_atr: 3.3
netR: -33.49863516169346, days: 10, open_atr: 3.4
netR: -31.8006763093172, days: 10, open_atr: 3.5
netR: -30.889428667161994, days: 10, open_atr: 3.6
netR: -29.645328372684673, days: 10, open_atr: 3.7
netR: -27.62465124038747, days: 10, open_atr: 3.8
netR: -27.996413256303743, days: 10, open_atr: 3.9
netR: -29.041897019038945, days: 10, open_atr: 4.0
