Getting Data...
netR,daysToBreakout,exitParam
-4.127800676240903,22,24
-4.5098892653030465,22,25
-1.432971041699797,22,26
-0.41866081060859817,22,27
-0.9011321249508304,22,28
-1.8254870177804057,22,29
-2.5469662976205183,22,30
-8.341743099084457,22,31
-14.139389011495023,22,32
4.7515914956887855,23,3
3.434509619788628,23,4
4.990474140776385,23,5
5.615000157210276,23,6
7.688439574850389,23,7
7.04404566757977,23,8
6.914298324782047,23,9
6.572589348880641,23,10
16.55859392562819,23,11
14.96666400100802,23,12
16.477085434640347,23,13
15.384791227092848,23,14
15.124081359190946,23,15
17.10526983384333,23,16
15.676404921765865,23,17
14.080863462853415,23,18
14.908185724388147,23,19
15.097023323531538,23,20
1.1700621332755747,23,21
-0.3926924220083232,23,22
-0.4324549292804396,23,23
-4.127800676240903,23,24
-4.5098892653030465,23,25
-1.432971041699797,23,26
-0.41866081060859817,23,27
-0.9011321249508304,23,28
-1.8254870177804057,23,29
-2.5469662976205183,23,30
-8.341743099084457,23,31
-14.139389011495023,23,32
2.2522774032537134,24,3
-0.6952158993040308,24,4
1.3108447152917084,24,5
2.349935078926161,24,6
4.040006594048467,24,7
3.875673311379109,24,8
4.372848921644204,24,9
4.35881637196541,24,10
14.251365193337126,24,11
11.768307681466908,24,12
13.26582272998629,24,13
12.415481003888713,24,14
12.739816392278579,24,15
14.778026770252474,24,16
13.335875787792473,24,17
11.975907826762034,24,18
12.693284962571324,24,19
12.770732894273403,24,20
-1.1174646083958018,24,21
-2.6461493639390694,24,22
-2.684659769248998,24,23
-4.127800676240903,24,24
-4.5098892653030465,24,25
-1.432971041699797,24,26
-0.41866081060859817,24,27
-0.9011321249508304,24,28
-1.8254870177804057,24,29
-2.5469662976205183,24,30
-8.341743099084457,24,31
-14.139389011495023,24,32
3.0661605166319656,25,3
-0.3539159843534244,25,4
3.3280717089177703,25,5
3.265164355983681,25,6
4.834613463637645,25,7
4.60469508240572,25,8
5.116224675639497,25,9
4.397171175459817,25,10
14.59982310902338,25,11
12.378562738139173,25,12
14.073099690766448,25,13
12.466224929558862,25,14
12.869582252537217,25,15
14.666203077569206,25,16
13.381544210719467,25,17
12.117050880949053,25,18
12.908988477348634,25,19
13.039863169287354,25,20
