Getting Data...
netR,daysToBreakout,exitParam
4.214825512567419,25,5
1.196530560426143,25,6
0.4605979687177433,25,7
5.090930990571271,25,8
5.954709493343268,25,9
1.7541001576598418,25,10
-0.5246555090245497,25,11
-1.282461031706456,25,12
-1.8479591780986575,25,13
-1.871165225926261,25,14
-1.8117537537825037,25,15
-1.7742619468005083,25,16
-1.7022439875951525,25,17
-2.0952698821142395,25,18
-1.50949659237701,25,19
-1.8286695778269602,25,20
-2.478834346528676,25,21
-3.704799569067432,25,22
-2.2275673844084207,25,23
-1.70203682408268,25,24
-3.0903096322574144,25,25
1.9553021144818858,25,26
2.6142239250817205,25,27
2.7730364840302384,25,28
1.8324749813142525,25,29
-3.7494256053968114,25,30
-6.40946563221166,25,31
-9.888572176400272,25,32
6.859690037725246,26,3
2.9429796823149195,26,4
8.067385486321681,26,5
4.059438507031097,26,6
3.267802338745354,26,7
7.7481890069703905,26,8
13.927979474889774,26,9
10.294828380731428,26,10
7.658808877330106,26,11
6.74060201908952,26,12
5.6850241056863045,26,13
5.6028728411839435,26,14
7.543076806428283,26,15
7.735900147584546,26,16
7.592162989795073,26,17
7.273565920499458,26,18
4.767759056444796,26,19
4.503305448986347,26,20
3.839051600165762,26,21
2.611085483678133,26,22
4.102292523477333,26,23
4.612740616894625,26,24
3.2268918170612517,26,25
1.9553021144818858,26,26
2.6142239250817205,26,27
2.7730364840302384,26,28
1.8324749813142525,26,29
-3.7494256053968114,26,30
-6.40946563221166,26,31
-9.888572176400272,26,32
9.469630051470949,27,3
5.393176559788677,27,4
9.053502631006994,27,5
3.767655215111854,27,6
3.123580966902579,27,7
7.7563313672592304,27,8
15.10707749481604,27,9
11.459338480751217,27,10
8.52337226041439,27,11
7.167145611150692,27,12
5.873703811529884,27,13
5.3256774309169455,27,14
7.500070881998729,27,15
7.93241060629156,27,16
7.7796819571033975,27,17
7.2609972782423995,27,18
4.745232085961239,27,19
4.433125491642696,27,20
3.7788618623015235,27,21
2.5622891128331435,27,22
4.056868031915245,27,23
4.59574488060302,27,24
3.2092423539422947,27,25
2.219383420593698,27,26
2.6142239250817205,27,27
2.7730364840302384,27,28
1.8324749813142525,27,29
-3.7494256053968114,27,30
-6.40946563221166,27,31
-9.888572176400272,27,32
5.872717925670628,28,3
3.3208186712759833,28,4
8.302269975019923,28,5
2.459369917443939,28,6
1.995012338088809,28,7
6.832437000119889,28,8
14.425486003037644,28,9
10.882916746670276,28,10
8.254102355558688,28,11
7.315446112697725,28,12
6.473671564724794,28,13
5.889796186232993,28,14
7.8785105040065435,28,15
7.974914534311791,28,16
7.974587507230316,28,17
7.56861529839065,28,18
5.043535373110981,28,19
4.67408906799982,28,20
4.052515655140697,28,21
2.879825726276641,28,22
4.393875903815337,28,23
4.946702957995469,28,24
3.575865278753823,28,25
2.6059077732073543,28,26
3.03387517414052,28,27
2.7730364840302384,28,28
1.8324749813142525,28,29
-2.7494256053968114,28,30
-5.40946563221166,28,31
-8.888572176400272,28,32
4.433184287435594,29,3
2.666204165583197,29,4
8.642805259332855,29,5
1.6541601713532312,29,6
0.7399322635251133,29,7
5.581073444176853,29,8
12.926166118253045,29,9
9.466442006399888,29,10
7.100092891391563,29,11
6.212523734540689,29,12
5.3687661693307644,29,13
5.018068278601172,29,14
6.926410107496531,29,15
7.141170867966233,29,16
7.014195276580788,29,17
6.846959340912132,29,18
4.001832350575,29,19
3.558644949298073,29,20
3.164296674066337,29,21
2.0501499152716622,29,22
3.503726143057057,29,23
4.094121319179105,29,24
2.754557084296263,29,25
1.7937868266865742,29,26
2.247902548670567,29,27
1.9928351667351656,29,28
1.8324749813142525,29,29
-2.7494256053968114,29,30
-5.40946563221166,29,31
-8.888572176400272,29,32
6.042967714156026,30,3
3.375257585113594,30,4
14.932931748846732,30,5
8.853610743278315,30,6
3.387930018252444,30,7
7.37613229904435,30,8
14.491108865903419,30,9
10.96666612646992,30,10
8.834560807690735,30,11
7.943216175743395,30,12
7.024661663781416,30,13
6.731049947662695,30,14
8.687547126414875,30,15
8.765716049402814,30,16
8.48477702622129,30,17
7.92665141709454,30,18
5.323013778941743,30,19
4.733939624214414,30,20
4.35113696553433,30,21
3.2356031401007304,30,22
4.602336774589655,30,23
5.285682665599915,30,24
3.9416568498966122,30,25
2.987569967391348,30,26
3.44450237434306,30,27
3.191272920561378,30,28
3.0315756591729546,30,29
-1.7494256053968114,30,30
-4.40946563221166,30,31
-7.888572176400272,30,32
7.801821443657164,31,3
4.530973793816779,31,4
10.55840498318702,31,5
3.9754616738995425,31,6
3.6744507084324702,31,7
7.152175921237028,31,8
14.116099094650478,31,9
10.744806457287709,31,10
8.161662226288497,31,11
7.3762109546452415,31,12
6.626601248915704,31,13
6.659646327694602,31,14
8.55627457222345,31,15
8.717419096538345,31,16
8.612180019311262,31,17
7.357727794579013,31,18
4.708437209176431,31,19
4.382897561103484,31,20
3.59309570251728,31,21
2.3894047639367506,31,22
3.711952287852222,31,23
4.7435003108458975,31,24
3.4571587475413446,31,25
2.5117763033171423,31,26
3.0280798208620268,31,27
2.7937207218696933,31,28
2.719472054218592,31,29
-2.098685379188796,31,30
-4.40946563221166,31,31
-7.888572176400272,31,32
9.949665275781673,32,3
5.995181919880787,32,4
10.548643505967588,32,5
3.6989390829377973,32,6
2.9453812183637145,32,7
7.443985178691266,32,8
14.516746753393273,32,9
11.107191596321822,32,10
8.518396189145177,32,11
7.939827935159981,32,12
7.445238734081743,32,13
7.564189376833209,32,14
9.478283157819616,32,15
9.701855856252179,32,16
9.777125876850372,32,17
8.628863777914141,32,18
5.916347905592186,32,19
5.490121670792891,32,20
4.942800934150517,32,21
3.71946746024455,32,22
5.036783372497431,32,23
5.982374403013975,32,24
4.802543303067465,32,25
3.936119468855245,32,26
4.433542836080731,32,27
4.290910459198804,32,28
4.224371242676662,32,29
-0.5934357611339571,32,30
-2.904216014156816,32,31
-7.888572176400272,32,32
9.15280976749433,33,3
3.7840099945249075,33,4
8.546571712329698,33,5
2.1428835097819863,33,6
1.5904852578686173,33,7
6.16158750037756,33,8
13.619961209539742,33,9
10.200257087691185,33,10
7.692018356253644,33,11
7.050748202755001,33,12
6.649998906428071,33,13
6.807364629527739,33,14
8.892301179188202,33,15
9.146227347911015,33,16
9.160239720496513,33,17
8.081705498350942,33,18
5.487012284392743,33,19
5.097876693435616,33,20
4.610937039352341,33,21
3.4241370332440306,33,22
4.707739312207128,33,23
5.659701428098934,33,24
4.544961428030493,33,25
3.678537593818276,33,26
4.179594158278235,33,27
4.0369617813963075,33,28
3.9740060214119612,33,29
-0.8406494293638662,33,30
-3.1504998605592878,33,31
-8.126652459926994,33,32
11.276967338569808,34,3
5.552855717193815,34,4
9.566082600753035,34,5
3.4445199922594414,34,6
2.711204041563641,34,7
8.016940581321464,34,8
15.537588090629892,34,9
11.760382228812489,34,10
9.337733766694136,34,11
8.942308649268611,34,12
8.415466870408789,34,13
8.367870227098493,34,14
10.299029583088434,34,15
10.722594355973602,34,16
10.849181872079576,34,17
9.873525184844276,34,18
7.403962133901421,34,19
6.7918609402737244,34,20
6.093200625506474,34,21
5.159190354809387,34,22
6.375205761812421,34,23
7.107860963572843,34,24
5.99965711455675,34,25
5.1178520523165,34,26
5.591719175343001,34,27
5.406193598747684,34,28
5.398874168107129,34,29
0.5849560923954877,34,30
-1.7042074684962243,34,31
-6.628636980715257,34,32
9.319779686079459,35,3
4.838820400269624,35,4
7.915367092668515,35,5
1.4938032494252886,35,6
1.4224431841232827,35,7
6.665788367744439,35,8
14.318651980652636,35,9
11.057847343656398,35,10
8.037297592195435,35,11
8.079251539030736,35,12
7.357746353511299,35,13
7.754441642532248,35,14
9.682569798005687,35,15
10.007090744677036,35,16
10.040576787012629,35,17
9.028661048956998,35,18
6.73339146683173,35,19
6.322188562230224,35,20
5.737731095910823,35,21
4.658721384172428,35,22
6.066292082271983,35,23
6.759301791246524,35,24
5.676534289710468,35,25
4.814090827000563,35,26
5.298750938858281,35,27
5.127739938573736,35,28
5.072146416822795,35,29
0.3256565263014792,35,30
-1.9352110323539558,35,31
-7.729540878644119,35,32
0.3945518485506012,36,3
2.9890620073112366,36,4
6.268706447320228,36,5
-0.11790234296911528,36,6
-0.004699557292364709,36,7
5.566722578482943,36,8
6.862264204034395,36,9
3.4795389335043545,36,10
0.9174539719865604,36,11
0.9698992303685392,36,12
0.37174528616202274,36,13
0.7224084995266251,36,14
1.0790692523635523,36,15
1.568195980241061,36,16
1.5980104703459797,36,17
0.6380448229792487,36,18
1.23545622317713,36,19
1.0513832538531351,36,20
0.38609279813680797,36,21
-0.7107418969633205,36,22
0.0991270994176093,36,23
0.7791425969342342,36,24
-0.3124104565246208,36,25
-1.1513481220372357,36,26
-0.7771985469934555,36,27
-1.1193874004663598,36,28
-0.9066713165791085,36,29
-5.652598419824955,36,30
-7.912543001200165,36,31
-7.857342014846301,36,32
0.38169999686545175,37,3
2.248259654941944,37,4
6.126892335977014,37,5
-0.03285017054711936,37,6
0.06966341280934607,37,7
5.734984016318477,37,8
7.0307750104492435,37,9
3.6525362359834226,37,10
1.1346191922879303,37,11
1.2043787185238832,37,12
0.8815775241017665,37,13
